title,subtitle,url
環境／規則介紹,,https://drive.google.com/file/d/1HTASeshI-jz3JVml28cB7eTUeK0R2CdB/view
機率與統計 (part1),敘述統計,http://www.hmwu.idv.tw/index.php
機率與統計 (part2),無母數統計 & 缺失值處理,http://www.hmwu.idv.tw/index.php
技術班簡介,,https://drive.google.com/file/d/17SaeDWQOK02eQJzRTCPeyXMvh0uV7ft0/view
機率與統計 (part1),機率分佈 & 參數估計,http://www.hmwu.idv.tw/index.php
機率與統計 (part3),資料轉換,http://www.hmwu.idv.tw/index.php
機率與統計 (part2),假設檢定與變異數分析 / 專題簡介,http://www.hmwu.idv.tw/index.php
機率與統計 (part3),資料轉換 & optional,http://www.hmwu.idv.tw/index.php
學員自由交流、同組學員自我介紹,,
應用分享,透過習慣領域帶領數位學習,
Python 程式設計快速上手 (part1),環境建置與使用 & 基礎語法,https://drive.google.com/open?id=1_LF-0xS_aS7PzO73ACXH3x-Yxh_iftYzuH1PVQOMGqA
Python 程式設計快速上手 (part2),函式 & 生成器,https://drive.google.com/open?id=1l9LQXKT-sYBIUVj3vhOWXt-WjS9MfjLapi4klevMHZI
Python 資料處理,Data Viz & Preprocessing,https://drive.google.com/open?id=195T3OoX6mtU5q-ukUrIlWNW-9jXg3gnaIwdKIzJXNL0
Python 程式設計快速上手 (part1),資料結構 & 流程控制,https://drive.google.com/open?id=1_LF-0xS_aS7PzO73ACXH3x-Yxh_iftYzuH1PVQOMGqA
Python 程式設計快速上手 (part2),正規表示式 & 類別,https://drive.google.com/open?id=1l9LQXKT-sYBIUVj3vhOWXt-WjS9MfjLapi4klevMHZI
機率統計：綜合補充、總結與問答,總結與問答,http://www.hmwu.idv.tw/index.php
Python 資料處理,Numpy,https://drive.google.com/open?id=195T3OoX6mtU5q-ukUrIlWNW-9jXg3gnaIwdKIzJXNL0
Python實戰,Python實戰,https://drive.google.com/open?id=1RbH6hSrEct1sTfXe-olKF2TiPjfCWzHloHsnzoNMqXg
Python 資料處理,Pandas,https://drive.google.com/open?id=195T3OoX6mtU5q-ukUrIlWNW-9jXg3gnaIwdKIzJXNL0
MachineLearning (part1),機器學習概論,https://drive.google.com/open?id=1tKYLC3NN7I8r-zOqTsbG8XE5vSuLtc9KnIGAZ2PG1ik
MachineLearning (part3),KNN,https://drive.google.com/open?id=1gEGwBNvDF1zphKp__wLxGbaaUANE2UOTORG5y8fM8hs
MachineLearning (part5),決策樹系列,https://drive.google.com/open?id=1GY6Z14ybAu0xxVZI03iBjUHg206LOZ-1KWTVP-af9FA
MachineLearning (part1),線性迴歸,https://drive.google.com/open?id=1tKYLC3NN7I8r-zOqTsbG8XE5vSuLtc9KnIGAZ2PG1ik
MachineLearning (part3),Logistic regression,https://drive.google.com/open?id=1gEGwBNvDF1zphKp__wLxGbaaUANE2UOTORG5y8fM8hs
MachineLearning (part2),[實作] 機器學習概論,https://drive.google.com/open?id=1DF9RzA0XyxAdSw-DhUrMs7WsMBl70aMQRChGroRNoXM
MachineLearning (part4),支持向量機,https://drive.google.com/open?id=1t5WjXI_pwcWvEYDaCquGEjJI8MvyIkhiZW4PqdtAXSs
MachineLearning (part6),Ensemble learning & Practical concerns,https://drive.google.com/open?id=1pmMYRPEGU6Bci7D1SyLgwW6rypIcLKVRzcgfsDuwOoY
MachineLearning (part2),[實作] 線性迴歸,https://drive.google.com/open?id=1DF9RzA0XyxAdSw-DhUrMs7WsMBl70aMQRChGroRNoXM
專題演講 16:00~18:00,資料科學專案實務,
MachineLearning (part7),非監督式學習,https://drive.google.com/open?id=1Cy4uMiGg3o0l49I_djTJCu-qJdnKS4qwlIyQQbzO7pM
MachineLearning_Kaggle,Kaggle 實戰,https://docs.google.com/presentation/d/1FGvpjWXckrl9-c-vOwnjddL8B9HzbbXEawlQ5psggGE/edit?usp=sharing
企業深度學習環境建置,,https://drive.google.com/open?id=1WvQUSauALTTU4OM-9sXSA2AMi5vzKZeKoedTpW8hEFQ
機器學習基礎與演算法：綜合補充、總結與問答,總結與問答,https://drive.google.com/open?id=1GVesQYtp4adCUmAp_7A318ev6rJxhZa4
深度學習(Part1),Intro to Deep Learning,https://drive.google.com/open?id=1nrgFNH-yxCJJ5E4g7avRPm-d8TmMCZx5t6mZHVRNo1w
MachineLearning_Kaggle,Kaggle 實戰,https://drive.google.com/open?id=1FGvpjWXckrl9-c-vOwnjddL8B9HzbbXEawlQ5psggGE
