airbnbId,title,star,price,url
listing_8597304,"離火車站和兵工廠客運站步行10分鐘,到各景點十分便利,位於赤崁樓,屈臣氏附近(二樓)",4.82,$456 TWD,https://www.airbnb.com.tw/rooms/8597304
listing_4433683,台南安平達古力的家#1F古堡閣樓雙人房,4.68,"$1,035 TWD",https://www.airbnb.com.tw/rooms/4433683
listing_27206960,台南東區吃貨首選/大東夜市/成功大學/種子博物館/南紡夢時代/321聚落/蝸牛巷/林百貨,4.62,"$1,004 TWD",https://www.airbnb.com.tw/rooms/27206960
listing_18674868,淡綠@女子目民(115呎單人園景房｡火車站周邊｡連假開放2人入住),4.96,$548 TWD,https://www.airbnb.com.tw/rooms/18674868
listing_16280570,"壹伍參號房-1號房Room1 雙人床,沙發,近火車站,電梯､獨立衛浴､乾淨, 吳園､赤崁樓",4.79,$700 TWD,https://www.airbnb.com.tw/rooms/16280570
listing_8195704,台南胡媽媽,4.88,$578 TWD,https://www.airbnb.com.tw/rooms/8195704
listing_24960126,硬漢房/旅遊規劃/南紡/大東/成大/長榮/國華街/正興街/海安路/新美街,4.85,$304 TWD,https://www.airbnb.com.tw/rooms/24960126
listing_19342029,{50步到赤嵌樓}小巷旺宅/合法民宿/磨石子雙人套房/石精臼美食區/新美街/老宅白色小透天,4.94,"$1,095 TWD",https://www.airbnb.com.tw/rooms/19342029
listing_14056019,"樂居赤嵌 A.E.Tainan 透天4F一層一間｡新屋落成,(附平面車位)",4.93,"$1,095 TWD",https://www.airbnb.com.tw/rooms/14056019
listing_11806840,WeLOFT INN - Room A - Hepburn,4.83,"$1,552 TWD",https://www.airbnb.com.tw/rooms/11806840
listing_17143098,Yuly's house 2fl,4.81,$456 TWD,https://www.airbnb.com.tw/rooms/17143098
listing_22500444,"台南火車站,出前站,便利屋,獨立門戶雙床套房,可以住1-4人,樓下7-11,公車站, 屈臣氏,康是美",4.76,$578 TWD,https://www.airbnb.com.tw/rooms/22500444
listing_16609294,(2~3人)台南懷舊風格一樓採光套房/近文化中心[好停車22:00~08:00 免費停車],4.73,$943 TWD,https://www.airbnb.com.tw/rooms/16609294
listing_38513064,2~4人北歐清新ins房可加床至4人&台南美食及夜市最佳地點|台南火車站|好市多|武聖夜市|,4.88,$578 TWD,https://www.airbnb.com.tw/rooms/38513064
listing_16563824,"慢活山宅｡日式超大浴池,泡澡,原木風格,台南, 民宿 ,市中心,藍唒圖,國華街",4.75,"$2,191 TWD",https://www.airbnb.com.tw/rooms/16563824
listing_12254981,"※推薦recommend※藍晒公寓二~六人獨立整層公寓,PraviteApartment 2~6 P",4.86,"$1,613 TWD",https://www.airbnb.com.tw/rooms/12254981
listing_13999269,台南市東區-ARN private studio 1-2人房 近車站,4.43,$517 TWD,https://www.airbnb.com.tw/rooms/13999269
listing_22072050,北歐菁英房型/室內停車場/近正興街神農街國華街海安路/獨立衛浴,4.85,"$1,491 TWD",https://www.airbnb.com.tw/rooms/22072050
listing_12593890,JJ INN 1-2人入住 (獨立衛浴、鄰孔廟商圈、火車站及赤崁樓及花園夜市）奇美博物館、安平老街,4.63,$304 TWD,https://www.airbnb.com.tw/rooms/12593890
listing_13773369,"WOODS 1-3人入住,近車站,鄰孔廟商圈及國華美食街、獨立衛浴,廚房,景觀露臺、夜市、奇美博物館",4.68,$304 TWD,https://www.airbnb.com.tw/rooms/13773369
listing_19075116,10月住宿特價/台南神農街/花園夜市/海安正興商圈/赤崁樓/安平老街/武聖夜市,4.70,$578 TWD,https://www.airbnb.com.tw/rooms/19075116
listing_22447427,雙人獨立套房/神農街/花園，武聖夜市/正興街/海安國華商圈/赤崁樓商圈,4.78,$487 TWD,https://www.airbnb.com.tw/rooms/22447427
listing_19883111,明亮乾淨寬大二人房,4.60,$396 TWD,https://www.airbnb.com.tw/rooms/19883111
listing_30380391,Historical townhouse in Tainan city center,4.82,$548 TWD,https://www.airbnb.com.tw/rooms/30380391
listing_9015782,Tainan Finn House 2-3人房 4F,4.95,$304 TWD,https://www.airbnb.com.tw/rooms/9015782
listing_18922069,"**貳號柒樓 ** 走路就到美術館,海洋2-3人房,市中心電梯民宿,市區近火車站.赤崁樓.國華街",4.66,$913 TWD,https://www.airbnb.com.tw/rooms/18922069
listing_22140653,《北歐挪威風》近成大、台南火車站騎車7mins•獨立套房•設計師全新手工**訂房前請詳閱說明事項**,4.94,$730 TWD,https://www.airbnb.com.tw/rooms/22140653
